go_term,number_of_genes,statistic,p_value
GO:0036408,10,-3.4865970450524344,0.0004892078556504706
GO:0071639,14,3.4846616470922265,0.0004927597201151002
GO:0030207,6,3.4759703163229165,0.0005090086215389371
GO:0042975,10,-3.46646097568455,0.000527358281943635
GO:0034976,94,-3.4545928027208204,0.0005511245065473999
GO:0099523,26,-3.4528802955389324,0.00055463506690674
GO:0042073,29,-3.4524157597142917,0.0005555909288613121
GO:0010867,15,3.451041626680485,0.0005584274328690975
GO:0030169,16,3.449160393652706,0.0005623325761397279
GO:0016274,10,-3.4429394191205596,0.0005754281991870678
GO:0061756,5,3.442445444218709,0.0005764801305607855
GO:0036109,10,3.4395791967542753,0.0005826192935557529
GO:0034142,27,3.4367860308212785,0.0005886604369434136
GO:2000377,17,3.4340016702554856,0.0005947405312642822
GO:0006959,48,-3.433981097618542,0.0005947856716539224
GO:0032755,89,3.427920381314806,0.0006082238114669891
GO:0046961,26,3.42775892198507,0.0006085856416094502
GO:0070527,38,3.427755970650394,0.0006085922574104031
GO:0016209,24,3.4235834261815317,0.0006180127869995085
GO:0030414,127,3.423575271208345,0.0006180313309588867
GO:0008541,9,3.4211455741284835,0.000623579443133257
GO:0002003,13,3.419031772802081,0.0006284438780384388
GO:0006119,23,3.417034495306815,0.0006330725752563573
GO:0005542,13,3.4136026981621996,0.0006410999109093647
GO:0001676,33,3.4052066604888043,0.000661140003300766
GO:0048406,5,3.405181343854211,0.0006612013016249041
GO:0031092,17,3.398984170548077,0.0006763663081800902
GO:0051864,10,-3.3950878314382846,0.000686065874933285
GO:0140938,23,-3.392425262262949,0.0006927682824686255
GO:0071564,11,-3.3876127254682684,0.0007050373837075224
GO:0071456,132,-3.3871259294818836,0.0007062896042215706
GO:0045653,20,3.384473063793576,0.0007131501591133228
GO:1905172,5,-3.3839947556316345,0.0007143936770197708
GO:0002315,8,-3.3831425240418365,0.0007166143247022877
GO:0048024,27,-3.3810074811996675,0.0007222057652809086
GO:0071276,18,3.379794402603842,0.0007254007129992626
GO:0034453,13,-3.379477086140091,0.0007262386095725814
GO:0005856,874,-3.3793676230214587,0.000726527863193008
GO:0030214,17,3.3754970595102356,0.0007368247944977503
GO:0070062,2191,3.3712930218608945,0.0007481623411291535
GO:0070269,30,3.370805753010917,0.0007494868447821132
GO:0010875,27,3.367074377820241,0.0007597019568375306
GO:0071985,24,3.3643581437986856,0.0007672191325495753
GO:0006778,5,3.359735576199713,0.0007801710502667031
GO:0005925,412,-3.35881900745866,0.0007827631651869117
GO:0034162,12,3.358773029729325,0.0007828934034693295
GO:0007411,150,-3.358128938340343,0.000784719997310178
GO:0031838,11,3.357717844739062,0.0007858878945452892
GO:0009887,82,-3.356543259648436,0.0007892337309727371
GO:0006248,7,3.356036158936934,0.0007906823027312325
GO:0005667,241,-3.35599889089039,0.0007907888590235271
GO:0017148,98,-3.3549140313176222,0.0007938965218807966
GO:0070161,129,-3.3531197597310407,0.000799061236104846
GO:0030183,61,-3.3512612485611912,0.000804443723091293
GO:0060135,12,3.3469642306575706,0.0008170175193496954
GO:0099560,34,-3.3468595516227646,0.0008173260907267463
GO:0015026,65,-3.343547282633473,0.0008271459725055934
GO:0004859,10,3.3350838606117783,0.0008527367892217937
GO:0033119,7,-3.3332984183400387,0.0008582283699826097
GO:0061157,22,-3.3294627521480646,0.0008701370190457279
GO:0044294,8,-3.32890965314305,0.0008718668183765133
GO:0033691,21,3.326101418827925,0.0008806987753532509
GO:0006493,56,-3.3246894787073678,0.0008851706246997972
GO:0045176,10,-3.3222493270623614,0.0008929486475194191
GO:0032977,16,3.3181444733522083,0.0009061760065829459
GO:0001649,102,-3.31575648399964,0.000913954306546964
GO:0035097,27,-3.3153711840436055,0.0009152151098727509
GO:0070888,60,-3.3115909976474702,0.0009276706400828747
GO:0042904,5,3.3091807324645597,0.0009356941488229982
GO:0051592,48,-3.3079643952416635,0.000939767566621193
GO:0060216,7,-3.3065445827904383,0.0009445431847652093
GO:0048248,5,3.30503630711242,0.0009496409726506339
GO:0090201,17,3.3043574682396777,0.0009519436715666039
GO:0006091,42,3.3036126559066434,0.0009544761096702795
GO:0070063,20,-3.30317824449601,0.0009559560325985683
GO:0006617,181,-3.3024666976452766,0.0009583846739391295
GO:0048512,8,-3.300917582798937,0.0009636918672184859
GO:0070986,8,-3.298403663262483,0.0009723623937559104
GO:0036335,6,3.2971408981254164,0.000976744885458379
GO:0051056,117,-3.296487278803949,0.0009790204822882503
GO:0016922,45,-3.292252262946878,0.0009938841862913415
GO:0140588,14,-3.291154748019073,0.0009977700951755136
GO:0043394,15,3.2902320484782996,0.00100104792358307
GO:0005929,381,-3.285736158595633,0.0010171623686125735
GO:0035455,10,3.2810171247933684,0.0010343346406419041
GO:0140750,5,-3.2719880877095813,0.0010679407560856512
GO:0061952,25,3.2717626561679674,0.0010687925939853245
GO:0004298,10,3.271189105992732,0.0010709627020861379
GO:0071797,5,3.2693085023525943,0.001078106857121541
GO:1901888,7,-3.2647228421175307,0.0010957123472915748
GO:0018216,9,-3.264554342531495,0.0010963642951986052
GO:0009435,13,3.257466943416889,0.0011241135037229125
GO:0001732,15,-3.2542742428584908,0.0011368247670048746
GO:0071281,7,3.253520050933669,0.0011398468080054494
GO:0050650,23,-3.2516677803708856,0.0011473003840518205
GO:0043627,47,3.2493234059813476,0.0011567987891276136
GO:0005044,31,3.247667479742786,0.0011635516362351538
GO:0019732,5,3.243798849754079,0.0011794700799667092
GO:0060271,222,-3.242387951510748,0.0011853254773570817
GO:0009967,31,-3.237419483611862,0.0012061597044541968
GO:0032204,24,-3.230787271467887,0.0012344978087353094
GO:0042157,19,3.2284812565853382,0.0012444941399969746
GO:0015016,5,3.226149314202725,0.0012546788303296017
GO:0007004,23,-3.2204438787295824,0.0012799225020558986
GO:1904141,6,3.2199732155692824,0.0012820257438582751
GO:0000775,92,-3.2189918642272843,0.001286421350945904
GO:0000463,15,-3.2182339178913044,0.0012898258131577947
GO:0140662,18,-3.2174348506964763,0.001293423981329418
GO:0005786,179,-3.2139210428932232,0.001309356730648617
GO:0045663,45,-3.211922913841366,0.0013184974851035605
GO:0098839,119,-3.2118387992401494,0.0013188835690331536
GO:0048660,10,-3.207117497564934,0.001340722235992178
GO:0030301,22,3.206412426936154,0.0013440120665410508
GO:0002039,71,-3.2050010268083478,0.0013506199876477647
GO:0097677,8,3.2037786020588714,0.0013563673662053803
GO:0034354,9,3.199387889518259,0.0013771973867301984
GO:0097401,16,3.1950386467304726,0.0013981211730266637
GO:0061158,23,-3.1908694788292022,0.0014184534421122503
GO:0098505,10,-3.1901900615844037,0.0014217925516114074
GO:0045814,41,-3.186772094037757,0.0014387009202706997
GO:0046982,357,3.186457338550566,0.001440267270340241
GO:0150105,9,-3.1845809635373192,0.0014496375305698128
GO:0030224,17,3.1811664081179303,0.0014668334688930473
GO:0140824,5,3.18006044606255,0.0014724433476042261
GO:2000405,6,-3.175388168209081,0.0014963618670586147
GO:0042162,27,-3.17345652843064,0.0015063545786168468
GO:0097157,12,-3.17036271797706,0.0015224875598245477
GO:0061518,7,3.169725588574593,0.0015258296339573174
GO:0004028,5,3.1679129924442098,0.001535374633983413
GO:0062196,9,3.167590282285809,0.00153707975834343
GO:0003997,5,3.1658765075728996,0.0015461641996713017
GO:0060322,11,-3.155704573348953,0.0016011094173529255
GO:0140463,20,-3.1538637818872712,0.0016112427394208541
GO:0005041,15,3.153786307589364,0.0016116705172472565
GO:0071816,18,3.1523478989052856,0.0016196317673885388
GO:0005741,229,3.1481924646902284,0.0016428348737607093
GO:0030881,10,3.1467598191209243,0.001650905123590133
GO:0017053,59,-3.1455805800489705,0.0016575752602986107
GO:0071354,19,3.145497105550477,0.001658048356049458
GO:0045445,12,-3.1453151480709565,0.0016590800394515844
GO:0061635,13,-3.1376062710613137,0.0017033351436818835
GO:0005852,16,-3.1370512680702585,0.0017065628325476662
GO:0008430,9,3.1369378150123173,0.0017072233250148626
GO:1990090,33,-3.1363525901526335,0.0017106340789388897
GO:0030091,6,3.134977872906017,0.0017186707461467813
GO:0003357,7,-3.1328560251366,0.0017311433576160276
GO:0010484,8,-3.13056422634551,0.0017447084357429306
GO:0042612,8,3.125564633559528,0.0017746406710323244
GO:0005769,336,3.1248905893586802,0.0017787120456659985
GO:0006412,350,-3.1210031925078794,0.0018023608022877057
GO:0140911,9,3.119654190980609,0.0018106346836216525
GO:0005504,34,3.118696042711353,0.0018165325155409064
